Book ID,Book Genre,Barcode,Difficulty (Reader suggested),Number Of Words,Price (2017),Price (2018),Most Sold At,Number Sold
5000,24,#24-349283,2,937,32.546215994519024,34.030877191479576,Daniel's Bookshop,2789
5001,30,#30-441083,1,4258,12.955205353698727,13.122562337573758,Daniel's Bookshop,411
5002,26,#26-417947,2,4063,7.793853640937674,8.31111991830556,DHC-Online,4282
5003,19,#19-346900,5,2868,9.87114950534812,10.156168688660493,Level 5 Daniel Shop,3294
5004,21,#21-349180,2,4622,44.80245872839039,46.369519776575245,Daniel's Bookshop,739
5005,21,#21-347569,3,2841,31.963963085379817,33.79326162578619,Level 5 Daniel Shop,1225
5006,10,#10-309691,4,2824,35.743435361644956,36.36164581818476,Daniel's Bookshop,214
5007,3,#3-428202,1,2144,43.433961535904935,43.79297790531799,DHC-Online,2858
5008,30,#30-307155,5,3376,45.12418239066255,45.50166036577367,Level 5 Daniel Shop,1207
5009,8,#8-488982,5,536,12.101675130739721,12.723271392658706,Level 5 Daniel Shop,4635
5010,17,#17-482001,3,3704,6.299748959766253,7.534364594426329,DHC-Online,4110
5011,30,#30-415024,2,2848,4.601034638478394,4.748201084671871,PythonBooks,3611
5012,30,#30-492942,1,4635,22.67390193984686,22.980866661924583,DHC-Online,1951
5013,14,#14-453308,5,3445,8.767334601585452,8.519350062524035,DHC-Online,1970
5014,26,#26-386969,4,3904,37.86634447255301,39.700061028240164,PythonBooks,1252
5015,2,#2-326855,5,4062,5.112467104675637,5.532126801502801,EduBooks,725
5016,15,#15-448548,5,496,5.253186651377241,5.489906676073396,Daniel's Bookshop,116
5017,4,#4-461200,4,4241,14.555174503557039,14.721634541985626,DHC-Online,2701
5018,12,#12-398168,4,3056,33.50647173272305,34.82221345696583,PythonBooks,4648
5019,2,#2-356919,3,3730,3.9146272573768846,4.513957044299206,EduBooks,2216
5020,15,#15-341369,5,881,37.32285068958586,38.43688024972774,Daniel's Bookshop,639
5021,24,#24-492733,1,4687,32.64720786927141,33.828053743638286,DHC-Online,1789
5022,20,#20-321588,2,657,19.928038345102188,20.544245855050995,Level 5 Daniel Shop,4432
5023,17,#17-438948,2,3532,18.827212600270602,20.41839288717866,EduBooks,3418
5024,13,#13-381898,2,3747,11.61327287440639,12.103640625626781,Level 5 Daniel Shop,3337
5025,27,#27-331855,2,2131,32.6473403129714,33.92117946387092,DHC-Online,1608
5026,10,#10-459121,2,3160,30.634553651464834,30.365533352478018,Level 5 Daniel Shop,2842
5027,30,#30-471911,2,3022,28.207586963420052,29.302498473478554,Daniel's Bookshop,4772
5028,17,#17-341407,4,3836,28.807918170386206,28.72552542637955,PythonBooks,2520
5029,21,#21-409042,3,3102,6.80332280101634,6.447563977557421,DHC-Online,4934
5030,26,#26-310546,5,2380,8.98851014826755,8.953757727609538,Level 5 Daniel Shop,1011
5031,0,#0-408260,5,2370,42.21243665744208,42.814298394171004,Daniel's Bookshop,1340
5032,7,#7-330981,3,4607,49.265758704126945,51.220473867886504,PythonBooks,2313
5033,18,#18-475714,4,2967,43.804017847869325,44.591445402732916,Level 5 Daniel Shop,2974
5034,20,#20-372844,5,1972,30.168289999992382,29.680827164752024,DHC-Online,190
5035,19,#19-463659,4,4410,27.723243844746428,28.818165111548186,EduBooks,1894
5036,15,#15-373059,4,1848,25.282144109021967,25.3740604251528,PythonBooks,4117
5037,12,#12-369153,3,2013,22.381024351038583,22.099247454251763,DHC-Online,4872
5038,6,#6-403812,4,3391,42.22596679881829,42.46193732780111,DHC-Online,3323
5039,16,#16-310456,3,2335,33.162885383636244,34.58465510128017,DHC-Online,1784
5040,0,#0-456260,4,1386,17.690660306571722,17.38333187696672,EduBooks,2523
5041,23,#23-496560,2,4545,30.89835585852942,30.57624373942968,PythonBooks,2118
5042,10,#10-370127,1,2785,9.484345594469524,9.591775485334098,DHC-Online,3118
5043,7,#7-320399,1,2194,43.40916253002976,44.33670007771391,PythonBooks,3963
5044,2,#2-394318,4,4430,30.109669248393974,30.53499124169866,DHC-Online,2045
5045,1,#1-403169,3,2107,15.279163850740364,14.937597102814271,EduBooks,1458
5046,26,#26-428361,4,3364,27.21354242926508,28.848890635100584,Level 5 Daniel Shop,970
5047,22,#22-349229,3,3356,47.733711039288885,49.1175980693604,PythonBooks,2059
5048,1,#1-341487,5,4714,22.796199291626927,23.14138790715625,EduBooks,769
5049,16,#16-393176,2,1548,10.074885201569064,10.974117792726048,EduBooks,4480
5050,3,#3-306045,3,4299,9.435534532186319,9.718643515415058,EduBooks,2018
5051,23,#23-494968,3,4636,4.894521540326066,6.59453190008522,Level 5 Daniel Shop,4416
5052,26,#26-327137,5,3615,2.2955301928658507,1.950695432785027,Level 5 Daniel Shop,1846
5053,12,#12-408217,5,4450,35.651540593036955,37.21507553438453,Level 5 Daniel Shop,965
5054,25,#25-371534,3,2969,42.205501689004755,43.861122607591135,Daniel's Bookshop,1353
5055,16,#16-307024,4,2781,30.904389959696314,30.453124260559346,DHC-Online,3629
5056,14,#14-434702,3,1173,24.0978080477957,25.816375656049555,DHC-Online,4443
