User ID,User Difficulty Choice,User Read Books (2017),User Read Books (2018),Average Rating (2017)
ID790145788,1,6254,7180,3.1154469625769927
ID646234447,Not specified,"5854, 5676, 7265, 6051","5729, 5279, 6242, 5519, 5251",3.1578759344849705
ID86918707,5,5815,"6372, 6697",1.512284052936332
ID404262345,2,"6969, 7002, 5761","5023, 6412, 6124",3.6416810412977494
ID267634255,4,"7908, 7585, 7655, 5013, 5352, 7753, 5793","7915, 7884, 7404, 6022, 6589, 6543, 5450, 6848",2.5067431668102516
ID424329114,1,6985,5871,3.604108017004665
ID83021177,5,"7279, 7265","7736, 6456",2.694356896587933
ID852246012,Not specified,"5963, 6669, 6695","5855, 7515, 5247",4.866175440796517
ID433102103,1,5712,7647,6.792115149496296
ID119279621,1,"7670, 6206, 5359","7597, 6875, 6879",5.472592184356995
ID245262879,1,"6977, 6134, 5473, 5135","5322, 5362, 6371, 5543, 7128",3.8141524401181544
ID404565396,1,"6402, 6275, 6939, 6229, 5415, 5379, 7270, 7696, 5613","7651, 7071, 5212, 6525, 5199, 6618, 7415, 5758, 6150",2.0641556435209485
ID133306364,1,"6869, 6634, 5497","7428, 7748, 6381",2.702974805672023
ID448999244,2,"5985, 5726, 5123, 6694, 6874","7328, 6794, 6742, 5725, 6046",4.605959383114251
ID796879434,Not specified,"6675, 7519, 5938, 5908","6779, 6959, 5062, 6172, 5238",3.9941340861991828
ID583235318,2,"7772, 6196, 6450","7454, 5495, 7522",3.648437636145664
ID214070377,5,"6671, 6772, 5690","5962, 5770, 7593",4.366518659381556
ID995803338,3,6373,5625,3.6427501935424673
ID726770277,Not specified,"5472, 7077, 5712, 5690, 6100","6053, 6471, 5265, 7101, 7623",3.3937757452691955
ID626001956,4,"6727, 5935, 5899","6491, 7610, 6449",2.227280473621821
ID22168844,4,"7726, 5921, 5910, 5778","6131, 5987, 7380, 5206, 5973",2.2137247906686124
ID515097308,1,6176,5554,5.3965943251764745
ID754464922,4,"6118, 6827, 7071","7792, 5531, 5206",1.2594111881952932
ID639245964,1,"6436, 5372, 7940, 5751","7731, 7718, 6121, 5123",2.6167699127916353
ID125587121,4,5441,"7114, 7985",3.994802524411137
ID495700605,2,7477,7633,1.753728652758019
ID287812081,2,7766,6937,2.994299857054104
ID871640606,Not specified,"7711, 5230, 5197, 5423","5484, 7550, 6713, 5576, 5772",3.0307096233596535
ID705726027,3,7668,6344,3.1398280683779634
ID896392883,Not specified,6757,7417,1.816476547171637
ID558008149,2,6354,6761,4.135534518126044
ID979681064,1,6604,"7912, 5553",4.843763307081369
ID568719712,3,"7637, 6036","6157, 5351",1.2013653389085452
ID731888469,1,"5400, 7375","6780, 7370",4.789891663322967
ID276701897,3,"6921, 6191, 7336, 6884, 6398, 5062","7616, 6828, 6440, 5608, 7294, 5524",3.8367774428723767
ID758616402,4,6500,"6542, 5594",3.863548034630708
ID418636756,4,"6994, 5487, 6968","6611, 5552, 7345",4.6306637638261
ID40678970,Not specified,6827,7840,1.0266634474355683
ID405704325,1,5429,5128,4.186721295982408
ID585819852,5,7844,6914,2.156111518549917
ID107726226,2,7445,7750,4.118255822417439
ID718052527,3,"5542, 6410, 5592","6146, 6286, 6742",5.949750564041015
ID290855591,5,"7142, 6365, 5172, 7803, 5007, 7457","7608, 7912, 5064, 6071, 5052, 6563",1.385853633647858
ID501790694,3,6134,5001,1.8668206165674608
ID903873938,5,6685,"6804, 6165",4.366662264078015
ID158722489,2,6507,7368,5.748812422646276
ID881592944,2,"5829, 5562","5361, 7729",4.064357773297445
ID846310377,3,"6179, 7561, 7568, 5499, 7139","5803, 5734, 7340, 7540, 7246",3.3560851474811435
ID275972227,4,"7955, 5965, 7019, 6976","5833, 6780, 7880, 6786, 5353",3.6271055901101925
ID842465298,5,"5699, 5028, 7443, 6102","6287, 6586, 5594, 5268, 6074",2.562521062543012
