Word ID,Word
2587,unpardonable
4248,equals
2369,husband;
1214,necessity
1086,you--and
4905,_me_--it
7849,mildness
895,genius
534,minutely
2152,explaining
5249,malicious
4499,excessive
7310,pale
7915,acknowledged
1307,deserving
2431,admiring
815,school
7379,half
3782,many
6988,passion
7705,independence
5507,kill
4579,low
6874,remove
8041,discovery
5943,awaited
4382,godfather
5396,prognostics
330,_when_
5460,inured
4631,purpose;
6740,loo
2662,indirect
5731,times
6723,tremble
3660,concisely
3977,represent
8000,authorise
8132,living
1154,palatable
6793,thankfully
8007,discrimination;
6762,eminent
5766,fervent
8170,collins;
5156,viewing
2294,library)
7283,street
3574,compromised
3784,mantelpiece
4216,letter;
1837,codes
5775,artificial
4122,comprehension
7845,bribe
3339,bakewell
5697,maintained
3269,patched-up
6029,_that
1056,paler
3483,edition
6320,overtook
6965,hair
1472,one
424,equal
7483,persists
2606,amends--of
6008,recovery
2793,rapid
1949,commanded
1258,rightful
5029,diversified
347,injustice
881,canvas
4494,combated
2079,wish
3799,differently
5233,mansion;
4935,folded
2837,tend
4792,splendour
3351,imprudence--in
6164,reserve
1244,but--good
2188,noticed
6534,irish
457,along
3959,withdrawing
4868,subjects
8163,barnet
7768,discontinue
7942,formation
5315,honoured
3613,hursts
1847,room;
4803,desperation
6747,recollecting
4337,meditated
2424,nearness
7051,anguish
5381,imprudence
170,defy
5502,any)
7535,conscientiously
4145,arts
751,chicken
2165,endeared
3568,line;
7532,dispute
235,sentinel
1158,_me_
5372,gloom
2315,requiring
7922,either;
6326,allusions
5804,energy
7613,fourth
6953,persisting
2230,custom
3322,provisions
4980,remains
3798,thinking
4290,places;
1588,lakes
5611,bennet
2091,communicative
6479,thoroughly
3863,amazement
4641,writes
6115,contempt
5159,intrude
5174,consigned
8215,nieces;
5373,s/he
1098,profession
617,springing
6430,housemaid
1603,syllable
5408,reprehensible
3556,inconceivable
7594,declaration
160,petticoat;
4195,report;
8078,crown
7708,congratulatory
7162,absurdities
3530,poetry
2865,pointed
6122,forward;
5021,interview
910,short
3105,weary
2324,conceals
3331,footman
2594,arranges
3427,aught
7908,employed
7466,other;
3945,bowing
6828,hand;
6496,incessant
2422,tormenting
3772,nephew;
2332,fender
2232,willing
4341,indebted
5345,_him_
7018,descending
820,'after
7010,gone
2667,question
777,purport
4495,proudly
1924,hasty
6136,newcomers
5837,bourgh
270,forster
1459,fail
3869,produced
120,(like
4172,sisters;
6277,retained
51,contentment
6173,47
5416,french
63,attitude
7997,way--teaching
7356,duty;
6068,news)
4533,like
853,rudeness
2271,overheard
6042,ring
5465,large
4729,wind
5244,were
5323,awkwardness
4365,foundations
4874,came
1323,book
3450,pardon;
7121,half-year
6919,chief
3625,pleaded
2954,calculation
5694,definition
4888,encroaching
7475,congratulated
4745,reputation
4082,evenness
3459,sections
3071,further;
7702,probability
6271,improper
5706,indignant
1335,decide
3695,difficult
5220,unworthy
3622,relate
2777,proceeded
5094,acquire
2213,established
3081,yourself--and
2928,hardship
5833,success--no
5807,unwillingly
2839,acting
2731,two;
1543,confession
3123,port
4598,future
2365,anyone;
7704,winding
5534,tuesday;
6592,coarse
5831,ended
2068,satisfied
7794,proficient
7486,invitation
5548,!--he
3285,warmth
7874,acknowledging
5500,act
2058,brother-in-law's
255,doors;
3264,comparatively
8079,shan't
1249,gig
1403,interfering;
4102,_they_
913,owe
4182,fool's
5421,mary's
6346,michaelmas;
7004,interested
6192,worthlessness
4586,soon
6505,decisive
7360,muffin
181,spending
1520,elizabeth--
702,acknowledge
2297,doubtful
420,procured
6434,dovedale
4293,covered
6651,musical
3267,avoided
4926,(for
6168,!
4796,vouch
2272,1f6
6407,lifetime
173,sources
2342,conjectures
995,of--of
2842,distractedly
3815,music
3475,especially
1932,hertfordshire--and
4303,incapable
3529,there--i
4589,depends
2656,including
7712,hypocritical
3352,hesitated
8001,corroborated
2558,confirming
994,retired
2569,whispering
539,windows
2221,placing
307,curtseyed
1152,converting
3047,maria's
2237,saying;
682,threadbare
4347,breast
1793,ah
3463,complacency
3668,local
1599,deduced
4278,back;
1501,modern
4924,acutest
2435,strangely
1194,distrust;
7164,nonproprietary
6633,her--who
2471,need
6457,harringtons
5041,occur:
4925,notice;
2299,yes--i
6126,intruder
7110,noblest
4377,to
5690,prevents
2755,nearest
3967,fret
3064,qualified
6045,burst
3884,violence
475,advantage
3441,perseveringly
5078,restrictions
861,visited
7325,inquiries
192,thursday
1441,why
5979,often
5202,night
8009,will;
7300,assisted
2995,you--be
1663,housekeeper's
5888,asked
1362,crowned
3272,drop
1435,domain
5854,printed
6826,pitched
5915,jane:
4068,amazement;
847,innocence
8184,journeys--and
4637,formal
6609,partner
1112,principles
5212,expectations
388,preparing
5368,rendered
1550,vicinity
3648,twenty-seven
4209,right
6128,horses
3914,disposal
2927,interest_
2495,meets
2862,upon
8025,occurs
714,lawfully
7669,complaints
303,serenity
2303,is
1505,perfectly
1531,accomplishments
5933,upbraided
5399,!)
517,acquainted--
1506,vacant;
2258,voluntary
8012,competition
6561,objected
2360,despised
5308,opposition
2111,eldest
624,motives
2626,oppressively
1351,whisper:
4931,design;
3112,nothings
3675,checking
3688,disclosure
6098,scrupled
5050,singular
2515,stopped
78,actual
1099,miles
1568,see
7847,ugly
2641,dose
2106,amongst
2499,news--and
3532,trials
6667,easy
1324,retrospective
3512,moment;
7928,speculation
8055,introduced
3699,arch
5927,gaming
7131,discourse
7290,courteous
7780,shook
1000,nerves
2007,boasting
3465,rules
317,parts
5048,bingley's
5455,despair
945,'as-is'
7058,northwards
5734,occupy
2748,sick;
1239,serenity;
6908,trifled
3834,imitated
3079,married
3036,informed
4830,deserted
6913,society
720,eagerness
4457,insist
5433,naming
2159,satisfactions
1696,aye--because
3042,_accident_
7663,final
113,paused
7608,promise
5370,treatment
3500,evening
7210,written
7954,bitter
7231,openness
4525,happiness
8232,certainty
3896,detailed;
7539,recede
5354,blown
3881,regulate
1341,superciliousness
4548,enumeration
164,worst
1146,changing
6891,discerning
6121,gross
6212,influence;
3491,extinguished
7141,peculiarly
5203,lively
7825,one's
5981,pity
3457,independent
6581,quietly
7167,yours
6350,favourite;
3039,preside
4972,lurking
1245,disappointed;
1274,owed
8171,prodigious
7839,possible;
7120,servants
2611,toward
6703,mere
144,lasting
3498,ached
7291,intermission
7324,gretna
5781,of;
8204,rich
7738,rely
876,children
1042,relieve
4776,undergone
1591,size
8071,gain
4535,justice
1015,drawing
95,accidentally
373,half-a-mile
3812,that;
2038,tendency;
